title,genre,director,country,year
Шалости,комедия,"Уильям Диксон,Уильям Хейз",,1890
"Неторопливые пешеходы, омнибусы с открытым верхом и кэбы со скачущими лошадьми",Документальное кино,Уильям Фриз-Грин,,1889
Трафальгарская площадь в Лондоне,Документальное кино,"Вордсворт Донисторп,Уильям Карр Крофтс",,1890
Сцена в саду Раундхэй,Документальное кино,Луи Лепренс,,
Ньюаркский атлет,Документальное кино,Уильям Диксон,,1891
Боксирующие мужчины,немое кино,"Уильям Диксон,Уильям Хейз",,1891
Лошадь и всадник прыгают через препятствие,,,,1888
,,,,
Транзит Венеры,документальный фильм,,,
Приветствие Диксона,Документальное кино,Уильям Диксон,,1891
Движение транспорта по мосту Лидс,Документальное кино,Луи Лепренс,,1888
Близорукий школьный учитель,немое кино,,,
Дедушкина лупа,драма,Уоллес МакКутчион,,1902
Беглецы из Шарантона,,Жорж Мельес,,1901
Адский котёл,фильм ужасов,Жорж Мельес,,1903
Возвращение мужа,комедия,Уильям Поль,,1896
Молниеносные превращения,,Жорж Мельес,,1899
Поцелуй в тоннеле,романтическая комедия,Джордж Альберт Смит,,1899
Бродяга и собака,немое кино,,,
Али-баба и 40 разбойников,"приключенческий фильм,фильм-сказка","Сегундо де Шомон,Фернан Зекка",,1902
Спиритический портрет,фантастика,Жорж Мельес,,1903
Король Джон,короткометражный фильм,"Уолтер Феффер Дандо,Уильям К. Л. Диксон,Герберт Бирбом Три",,
Матч Джеффрис — Шарки,кинохроника,,,1899
Бой Леонарда против Кушинга,немое кино,"Уильям Диксон,Уильям Хейз",,1894
Апофеоз,короткометражка,Макс Складановский,,1895
Клеопатра,фильм ужасов,Жорж Мельес,,1899
Вокруг кабинки,мультфильм,Эмиль Рейно,,1894
Борис Годунов,"исторический,драма",,,
Пётр Великий,"исторический фильм,фильм-биография","Кай Ганзен,Василий Гончаров",,1910
Гамлет,драма,Жорж Мельес,,1907
Неизменчивое море,драматический фильм,Дэвид Уорк Гриффит,,1910
"Двести миль под водой, или Кошмар рыболова","фантастика,приключенческий фильм",Жорж Мельес,,1907
На границе штатов,драматический фильм,Дэвид Уорк Гриффит,,1910
Бен-Гур,драматический,"Сидней Олкотт,Фрэнк Роуз",,1907
Электрический театр Боба,"комедия,мультфильм",Сегундо де Шомон,,1906
Форсаж 11,боевик,Луи Летерье,,2025
,,,,
Чебурашка 2,,Дмитрий Дьяченко,,2025
,,,,
,,,,
Фантастическая четвёрка,,Мэтт Шекман,,2025
Тихое место 3,"ужасы,фантастика,триллер",,,2025
Бардо,драматический фильм,,,
Банши Инишерина,"чёрная,трагикомедия",Мартин Макдонах,,2022
Боец: Король ринга,,,,
,,,,
Венера,,,,2022
Вавилон,драма,Дэмьен Шазелл,,2022
Вечная дочь,драма,,,2022
В ритме ча-ча-ча,комедийная драма,,,2022
Бэтгёрл,,"Адиль Эль Арби,Билал Фалла",,
Бодибилдер,,Андрей Грачёв,,2022
В духе Рождества,,,,2022
Вендетта. Банды Атланты,"боевик,триллер",,,2022
Все старые ножи,фильм-триллер,,,
"Два, три, демон, приди!",фильм ужасов,,,
Все любят Жанну,драматический фильм,,,
Двойная петля,"байопик,военный",,,2022
Бэтмен,,Мэтт Ривз,,2022
Дать дуба в округе Юба,комедийный фильм,Тейт Тейлор,,
Доброго траура,комедия,"Колсон Бэйкер,Mod Sun",,2022
Достать ножи: Стеклянная луковица,мистерия,Райан Джонсон,,2022
Дневная смена,фильм о вампирах,,,2022
Другое имя,"драма,триллер",,,2022
Зверь,"фильм-выживание,боевик",,,
Звёзды по обмену,"комедия,семейный",,,2022
"До пятницы, Робинзон",документальный фильм,,,
Дополнительный урок,драматический фильм,,,
Клондайк,драма,,,2022
